customer_id,tenure_days,merchant_category,preferred_payment_method,historical_success_rate,historical_failure_rate,velocity_24h,time_since_last_success_days
cust_100034,33,Gaming,UPI,0.7032,0.2968,0,42.44
cust_100035,34,SaaS,card,0.8504,0.1496,1,13.03
cust_100036,56,Edtech,card,0.7952,0.2048,0,7.67
cust_100037,12,Edtech,netbanking,0.827,0.173,0,2.06
cust_100038,5,Edtech,card,0.9133,0.0867,1,7.18
cust_100039,31,Gaming,card,0.9437,0.0563,0,11.74
cust_100040,59,Edtech,netbanking,0.8421,0.1579,0,4.17
cust_100041,15,E-commerce,netbanking,0.9135,0.0865,1,10.79
cust_100042,204,Gaming,card,0.9583,0.0417,0,2.77
cust_100043,12,SaaS,netbanking,0.8368,0.1632,1,4.14
cust_100044,52,SaaS,card,0.946,0.054,2,10.27
cust_100045,11,Edtech,UPI,0.7674,0.2326,1,0.09
cust_100046,13,Gaming,card,0.724,0.276,0,1.75
cust_100047,96,Financial Services,card,0.9738,0.0262,0,2.54
cust_100048,150,Gaming,UPI,0.7359,0.2641,0,13.72
cust_100049,126,Financial Services,netbanking,0.7462,0.2538,0,8.4
cust_100050,12,Gaming,UPI,0.8185,0.1815,0,2.8
cust_100051,434,E-commerce,UPI,0.9115,0.0885,1,15.84
cust_100052,84,E-commerce,card,0.8117,0.1883,0,2.17
cust_100053,154,Edtech,UPI,0.8449,0.1551,0,10.37
cust_100054,24,SaaS,netbanking,0.7179,0.2821,2,0.16
cust_100055,317,SaaS,UPI,0.7644,0.2356,3,4.86
cust_100056,229,E-commerce,UPI,0.4539,0.5461,0,23.14
cust_100057,331,SaaS,card,0.9535,0.0465,0,1.02
cust_100058,115,Edtech,wallet,0.219,0.781,0,22.3
cust_100059,252,Financial Services,card,0.737,0.263,1,4.45
cust_100060,42,Gaming,netbanking,0.768,0.232,2,7.16
cust_100061,84,Financial Services,card,0.7533,0.2467,0,12.11
cust_100062,191,SaaS,netbanking,0.7992,0.2008,0,4.71
cust_100063,12,Financial Services,card,0.9041,0.0959,0,6.27
cust_100064,94,SaaS,UPI,0.4641,0.5359,0,15.31
cust_100065,5,SaaS,netbanking,0.7533,0.2467,0,1.36
cust_100066,89,Financial Services,card,0.1917,0.8083,0,24.75
cust_100067,11,Financial Services,UPI,0.9585,0.0415,0,7.78
cust_100068,122,Financial Services,card,0.9397,0.0603,1,3.9
cust_100069,191,SaaS,UPI,0.5996,0.4004,0,0.82
cust_100070,4,SaaS,wallet,0.9594,0.0406,1,5.26
cust_100071,23,E-commerce,UPI,0.836,0.164,0,7.97
cust_100072,151,E-commerce,card,0.9527,0.0473,0,30.98
cust_100073,161,E-commerce,card,0.9759,0.0241,0,5.44
cust_100074,35,Edtech,UPI,0.9198,0.0802,1,1.23
cust_100075,6,Edtech,UPI,0.968,0.032,1,6.43
cust_100076,13,Gaming,UPI,0.8363,0.1637,0,1.9
cust_100077,69,E-commerce,UPI,0.9712,0.0288,0,10.08
cust_100078,6,Gaming,UPI,0.7171,0.2829,0,6.99
cust_100079,233,Edtech,card,0.3921,0.6079,0,15.73
cust_100080,124,Gaming,UPI,0.8487,0.1513,0,28.17
cust_100081,103,SaaS,UPI,0.7224,0.2776,0,6.13
cust_100082,95,E-commerce,netbanking,0.134,0.866,0,47.49
cust_100083,283,E-commerce,UPI,0.9636,0.0364,0,1.06
cust_100084,3,Gaming,UPI,0.8665,0.1335,1,3.84
cust_100085,224,Gaming,UPI,0.4287,0.5713,1,16.26
cust_100086,144,Gaming,card,0.9617,0.0383,1,16.27
cust_100087,40,E-commerce,UPI,0.788,0.212,1,46.57
cust_100088,64,Edtech,UPI,0.8881,0.1119,1,26.7
cust_100089,235,Edtech,UPI,0.9601,0.0399,1,1.09
cust_100090,280,SaaS,card,0.4106,0.5894,1,37.59
cust_100091,60,Gaming,UPI,0.7205,0.2795,1,3.85
cust_100092,360,E-commerce,wallet,0.7371,0.2629,0,9.99
cust_100093,72,Edtech,UPI,0.9462,0.0538,0,11.16
cust_100094,168,Edtech,card,0.8227,0.1773,1,6.82
cust_100095,8,Gaming,card,0.8713,0.1287,0,21.87
cust_100096,52,Gaming,UPI,0.5086,0.4914,0,14.33
cust_100097,116,Edtech,UPI,0.729,0.271,0,12.07
cust_100098,10,E-commerce,netbanking,0.9491,0.0509,1,0.89
cust_100099,518,Gaming,UPI,0.7789,0.2211,0,16.76
cust_100100,354,E-commerce,wallet,0.757,0.243,1,0.87
cust_100101,181,Edtech,card,0.7703,0.2297,0,23.68
cust_100102,15,SaaS,UPI,0.3118,0.6882,0,21.32
cust_100103,7,Edtech,UPI,0.2668,0.7332,0,25.48
cust_100104,165,E-commerce,card,0.7733,0.2267,1,3.36
cust_100105,244,Financial Services,UPI,0.8198,0.1802,1,35.03
cust_100106,6,SaaS,netbanking,0.5725,0.4275,0,49.57
cust_100107,10,E-commerce,card,0.9337,0.0663,1,9.93
cust_100108,143,Gaming,UPI,0.8203,0.1797,0,8.78
cust_100109,278,SaaS,UPI,0.9517,0.0483,0,30.04
cust_100110,266,SaaS,UPI,0.7588,0.2412,0,3.25
cust_100111,26,E-commerce,UPI,0.799,0.201,0,8.76
cust_100112,10,Gaming,wallet,0.8138,0.1862,2,3.7
cust_100113,202,Gaming,card,0.9592,0.0408,0,24.18
cust_100114,208,E-commerce,netbanking,0.9733,0.0267,1,5.42
cust_100115,324,E-commerce,netbanking,0.7069,0.2931,0,0.27
cust_100116,57,Edtech,netbanking,0.8153,0.1847,1,9.02
cust_100117,58,E-commerce,wallet,0.9205,0.0795,2,5.36
cust_100118,39,SaaS,UPI,0.7108,0.2892,4,14.65
cust_100119,348,Financial Services,netbanking,0.9286,0.0714,0,5.99
cust_100120,17,Financial Services,wallet,0.9298,0.0702,0,2.6
cust_100121,134,E-commerce,card,0.8848,0.1152,0,1.21
cust_100122,134,Financial Services,card,0.942,0.058,1,19.12
cust_100123,97,Edtech,card,0.8426,0.1574,1,1.44
cust_100124,4,Gaming,card,0.7077,0.2923,0,12.18
cust_100125,29,Edtech,UPI,0.9695,0.0305,0,4.32
cust_100126,107,Edtech,UPI,0.3983,0.6017,0,38.45
cust_100127,52,Edtech,card,0.7878,0.2122,1,9.73
cust_100128,238,Gaming,netbanking,0.7324,0.2676,0,26.12
cust_100129,82,Gaming,UPI,0.7124,0.2876,0,39.14
cust_100130,82,Financial Services,UPI,0.5628,0.4372,0,2.75
cust_100131,10,Gaming,UPI,0.9633,0.0367,0,1.65
cust_100132,18,E-commerce,card,0.7196,0.2804,0,4.24
cust_100133,273,Edtech,UPI,0.8857,0.1143,0,1.89
cust_100134,26,SaaS,UPI,0.7841,0.2159,0,3.27
cust_100135,24,Edtech,UPI,0.7913,0.2087,0,6.18
cust_100136,28,Edtech,UPI,0.7537,0.2463,0,11.72
cust_100137,5,Financial Services,card,0.9528,0.0472,0,0.85
cust_100138,249,Gaming,netbanking,0.8137,0.1863,0,3.24
cust_100139,197,SaaS,card,0.7589,0.2411,0,2.35
cust_100140,56,Gaming,UPI,0.7902,0.2098,0,4.6
cust_100141,75,Financial Services,card,0.7598,0.2402,0,2.91
cust_100142,150,Financial Services,netbanking,0.9688,0.0312,0,7.6
cust_100143,14,E-commerce,UPI,0.7795,0.2205,0,2.78
cust_100144,38,Gaming,UPI,0.9292,0.0708,0,3.89
cust_100145,29,E-commerce,UPI,0.7629,0.2371,0,22.12
cust_100146,109,E-commerce,card,0.1231,0.8769,1,15.91
cust_100147,93,Financial Services,card,0.9152,0.0848,1,1.36
cust_100148,41,Financial Services,UPI,0.8763,0.1237,0,8.46
cust_100149,53,E-commerce,wallet,0.8075,0.1925,0,2.71
cust_100150,13,Financial Services,UPI,0.8837,0.1163,0,1.75
cust_100151,25,SaaS,UPI,0.9409,0.0591,0,22.71
cust_100152,11,SaaS,card,0.7613,0.2387,0,40.39
cust_100153,15,Gaming,UPI,0.8561,0.1439,3,1.87
cust_100154,133,SaaS,netbanking,0.9244,0.0756,0,8.48
cust_100155,40,Gaming,card,0.8667,0.1333,0,3.91
cust_100156,67,Financial Services,card,0.9014,0.0986,0,1.22
cust_100157,114,Gaming,UPI,0.9539,0.0461,0,1.68
cust_100158,79,Financial Services,card,0.9082,0.0918,0,4.1
cust_100159,18,Financial Services,UPI,0.9105,0.0895,1,16.6
cust_100160,36,Edtech,card,0.846,0.154,1,6.38
cust_100161,64,E-commerce,UPI,0.7217,0.2783,3,13.13
cust_100162,335,Edtech,UPI,0.794,0.206,0,13.51
cust_100163,103,Gaming,netbanking,0.1754,0.8246,0,30.86
cust_100164,28,Financial Services,UPI,0.8978,0.1022,0,16.85
cust_100165,132,SaaS,card,0.7926,0.2074,0,20.97
cust_100166,60,Financial Services,netbanking,0.7579,0.2421,0,4.73
cust_100167,75,Financial Services,UPI,0.9155,0.0845,1,2.64
cust_100168,276,SaaS,UPI,0.9144,0.0856,0,23.69
cust_100169,118,Financial Services,UPI,0.964,0.036,1,4.08
cust_100170,18,Edtech,card,0.939,0.061,0,7.62
cust_100171,270,Financial Services,card,0.9057,0.0943,0,3.74
cust_100172,35,Gaming,card,0.8367,0.1633,0,8.44
cust_100173,173,Edtech,netbanking,0.7081,0.2919,0,17.22
cust_100174,15,Edtech,netbanking,0.9235,0.0765,0,5.06
cust_100175,192,E-commerce,UPI,0.9575,0.0425,0,12.81
cust_100176,153,Gaming,card,0.9539,0.0461,1,2.9
cust_100177,51,Gaming,UPI,0.7076,0.2924,1,5.12
cust_100178,75,Financial Services,netbanking,0.3308,0.6692,0,23.82
cust_100179,85,SaaS,card,0.7917,0.2083,0,20.57
cust_100180,323,Financial Services,card,0.9131,0.0869,1,12.28
cust_100181,20,Financial Services,card,0.9663,0.0337,0,5.52
cust_100182,161,Financial Services,netbanking,0.7229,0.2771,1,1.2
cust_100183,503,SaaS,netbanking,0.7146,0.2854,0,25.36
cust_100184,245,Edtech,card,0.7192,0.2808,0,5.09
cust_100185,7,SaaS,UPI,0.9659,0.0341,1,4.06
cust_100186,61,E-commerce,card,0.874,0.126,1,4.26
cust_100187,161,E-commerce,UPI,0.4347,0.5653,0,21.02
cust_100188,19,Gaming,UPI,0.8302,0.1698,0,5.43
cust_100189,296,Edtech,UPI,0.747,0.253,0,10.0
cust_100190,2,Gaming,card,0.9011,0.0989,0,32.46
cust_100191,20,E-commerce,UPI,0.7303,0.2697,0,57.68
cust_100192,84,SaaS,card,0.8612,0.1388,0,13.86
cust_100193,29,Financial Services,netbanking,0.9002,0.0998,0,2.12
cust_100194,5,SaaS,UPI,0.9326,0.0674,0,0.68
cust_100195,180,E-commerce,UPI,0.4862,0.5138,0,20.81
cust_100196,62,Gaming,card,0.9229,0.0771,0,2.01
cust_100197,238,Gaming,netbanking,0.7972,0.2028,0,3.16
cust_100198,124,Financial Services,UPI,0.7193,0.2807,0,1.7
cust_100199,152,Edtech,card,0.31,0.69,0,17.51
cust_100200,32,Financial Services,card,0.5804,0.4196,0,1.1
cust_100201,194,Financial Services,UPI,0.8219,0.1781,0,2.72
cust_100202,13,Gaming,UPI,0.7756,0.2244,1,17.73
cust_100203,61,Gaming,card,0.8302,0.1698,0,3.47
cust_100204,272,Gaming,UPI,0.9385,0.0615,0,2.33
cust_100205,4,SaaS,UPI,0.8262,0.1738,0,5.47
cust_100206,268,Financial Services,netbanking,0.8871,0.1129,0,3.0
cust_100207,58,Edtech,card,0.5255,0.4745,0,9.79
cust_100208,64,E-commerce,card,0.7994,0.2006,0,3.49
cust_100209,356,Edtech,card,0.9465,0.0535,0,20.29
cust_100210,81,Edtech,netbanking,0.8447,0.1553,1,0.23
cust_100211,38,E-commerce,card,0.46,0.54,0,17.98
cust_100212,19,Financial Services,netbanking,0.7673,0.2327,1,1.88
cust_100213,39,Financial Services,UPI,0.8374,0.1626,1,8.59
cust_100214,39,SaaS,card,0.2108,0.7892,0,32.7
cust_100215,28,E-commerce,UPI,0.8628,0.1372,0,23.03
cust_100216,249,Financial Services,card,0.7963,0.2037,0,10.94
cust_100217,24,Gaming,netbanking,0.8968,0.1032,0,4.83
cust_100218,88,Edtech,UPI,0.7646,0.2354,0,13.4
cust_100219,11,E-commerce,card,0.908,0.092,0,4.93
cust_100220,41,E-commerce,UPI,0.9068,0.0932,1,8.36
cust_100221,78,Edtech,card,0.9734,0.0266,2,0.32
cust_100222,37,Gaming,card,0.9745,0.0255,0,6.86
cust_100223,110,E-commerce,UPI,0.801,0.199,1,0.78
cust_100224,157,Edtech,UPI,0.3671,0.6329,1,17.83
cust_100225,206,Edtech,card,0.1273,0.8727,1,23.92
cust_100226,54,Edtech,UPI,0.7354,0.2646,1,30.0
cust_100227,71,Financial Services,UPI,0.1061,0.8939,0,35.63
cust_100228,159,Edtech,netbanking,0.8233,0.1767,0,11.79
cust_100229,228,E-commerce,UPI,0.7707,0.2293,0,2.5
cust_100230,528,Financial Services,netbanking,0.1327,0.8673,0,27.23
cust_100231,312,Financial Services,UPI,0.4147,0.5853,0,39.71
cust_100232,5,SaaS,card,0.9271,0.0729,0,25.82
cust_100233,426,Edtech,netbanking,0.2241,0.7759,0,34.81
cust_100234,224,Gaming,UPI,0.8698,0.1302,1,9.07
cust_100235,32,Gaming,UPI,0.8463,0.1537,0,11.92
cust_100236,50,Financial Services,card,0.7833,0.2167,0,3.79
cust_100237,94,Gaming,card,0.7855,0.2145,0,9.83
cust_100238,261,Gaming,card,0.5801,0.4199,0,0.25
cust_100239,245,SaaS,UPI,0.7582,0.2418,1,27.98
cust_100240,193,E-commerce,wallet,0.7227,0.2773,0,14.58
cust_100241,62,E-commerce,UPI,0.721,0.279,0,20.69
cust_100242,497,SaaS,card,0.893,0.107,0,5.47
cust_100243,161,Financial Services,UPI,0.7648,0.2352,0,4.38
cust_100244,41,Edtech,UPI,0.8271,0.1729,0,0.43
cust_100245,3,E-commerce,wallet,0.9206,0.0794,0,4.85
cust_100246,137,Gaming,UPI,0.9614,0.0386,2,5.41
cust_100247,254,Financial Services,netbanking,0.2124,0.7876,0,24.5
cust_100248,22,E-commerce,wallet,0.9315,0.0685,0,28.6
cust_100249,126,SaaS,card,0.4963,0.5037,0,17.62
cust_100250,24,Gaming,UPI,0.8594,0.1406,0,15.12
cust_100251,52,Edtech,UPI,0.8312,0.1688,4,5.05
cust_100252,171,Edtech,card,0.9639,0.0361,0,16.92
cust_100253,31,Gaming,UPI,0.8226,0.1774,0,8.99
cust_100254,105,Gaming,UPI,0.316,0.684,1,16.39
cust_100255,264,Edtech,wallet,0.7072,0.2928,2,8.0
cust_100256,11,E-commerce,UPI,0.9341,0.0659,0,3.01
cust_100257,155,Gaming,UPI,0.7058,0.2942,0,2.49
cust_100258,138,Edtech,UPI,0.9137,0.0863,1,6.55
cust_100259,108,E-commerce,netbanking,0.8824,0.1176,0,11.33
cust_100260,101,Edtech,UPI,0.8639,0.1361,2,19.01
cust_100261,243,Financial Services,card,0.8316,0.1684,1,11.4
cust_100262,116,Financial Services,card,0.8876,0.1124,0,21.28
cust_100263,247,E-commerce,UPI,0.8942,0.1058,1,4.08
cust_100264,164,Edtech,UPI,0.8121,0.1879,2,0.06
cust_100265,41,Gaming,card,0.144,0.856,1,18.01
cust_100266,121,Edtech,card,0.9717,0.0283,1,14.31
cust_100267,94,Financial Services,wallet,0.931,0.069,0,10.01
cust_100268,323,SaaS,UPI,0.8519,0.1481,1,0.7
cust_100269,43,Financial Services,card,0.3592,0.6408,0,23.73
cust_100270,51,Gaming,card,0.8751,0.1249,0,20.52
cust_100271,436,SaaS,wallet,0.8538,0.1462,1,14.2
cust_100272,3,Edtech,UPI,0.8955,0.1045,0,6.71
cust_100273,177,SaaS,card,0.415,0.585,0,18.2
cust_100274,703,E-commerce,UPI,0.787,0.213,0,1.79
cust_100275,191,SaaS,card,0.7261,0.2739,0,0.86
cust_100276,137,SaaS,card,0.7329,0.2671,0,30.13
cust_100277,20,E-commerce,UPI,0.9006,0.0994,1,10.18
cust_100278,61,Gaming,UPI,0.8163,0.1837,1,22.45
cust_100279,32,Financial Services,UPI,0.7682,0.2318,0,10.55
cust_100280,56,Gaming,netbanking,0.1953,0.8047,0,49.48
cust_100281,25,Gaming,netbanking,0.9462,0.0538,1,18.63
cust_100282,172,SaaS,card,0.9212,0.0788,0,0.33
cust_100283,305,Financial Services,card,0.9206,0.0794,1,1.25
cust_100284,17,Edtech,card,0.7792,0.2208,0,2.24
cust_100285,82,Edtech,UPI,0.8624,0.1376,0,3.13
cust_100286,192,Financial Services,UPI,0.825,0.175,0,0.12
cust_100287,10,Financial Services,UPI,0.8545,0.1455,0,9.16
cust_100288,42,Gaming,card,0.9612,0.0388,2,6.55
cust_100289,14,E-commerce,UPI,0.7669,0.2331,1,6.91
cust_100290,116,Financial Services,card,0.9172,0.0828,0,0.1
cust_100291,48,SaaS,card,0.8324,0.1676,0,4.32
cust_100292,5,Financial Services,UPI,0.8858,0.1142,0,1.42
cust_100293,101,E-commerce,card,0.7104,0.2896,1,1.83
cust_100294,14,Gaming,card,0.793,0.207,1,27.52
cust_100295,7,SaaS,card,0.8233,0.1767,1,12.52
cust_100296,195,Gaming,UPI,0.7043,0.2957,1,22.52
cust_100297,96,E-commerce,netbanking,0.8833,0.1167,0,10.32
cust_100298,90,E-commerce,card,0.4908,0.5092,0,15.62
cust_100299,35,Edtech,UPI,0.894,0.106,1,37.24
cust_100300,50,SaaS,UPI,0.9387,0.0613,1,6.9
cust_100301,98,Gaming,card,0.7887,0.2113,0,56.09
cust_100302,442,Financial Services,card,0.7101,0.2899,0,11.4
cust_100303,9,SaaS,UPI,0.8916,0.1084,0,6.21
cust_100304,244,Edtech,card,0.9091,0.0909,1,4.25
cust_100305,56,Financial Services,wallet,0.9129,0.0871,0,20.18
cust_100306,104,SaaS,UPI,0.8943,0.1057,1,20.67
cust_100307,278,SaaS,UPI,0.4981,0.5019,0,23.97
cust_100308,293,Edtech,UPI,0.8206,0.1794,0,9.98
cust_100309,159,E-commerce,UPI,0.8585,0.1415,1,1.98
cust_100310,33,E-commerce,wallet,0.7221,0.2779,0,19.27
cust_100311,82,Financial Services,UPI,0.7674,0.2326,1,7.23
cust_100312,54,Gaming,card,0.3306,0.6694,0,19.96
cust_100313,419,Edtech,UPI,0.8867,0.1133,0,3.93
cust_100314,179,Financial Services,UPI,0.8897,0.1103,1,2.69
cust_100315,10,E-commerce,UPI,0.5726,0.4274,0,4.11
cust_100316,212,Gaming,UPI,0.9694,0.0306,0,9.6
cust_100317,148,Edtech,UPI,0.7846,0.2154,0,0.37
cust_100318,160,Financial Services,card,0.7299,0.2701,0,18.59
cust_100319,197,Financial Services,card,0.8609,0.1391,1,1.19
cust_100320,38,Edtech,UPI,0.515,0.485,0,27.58
cust_100321,5,Financial Services,UPI,0.8585,0.1415,0,27.16
cust_100322,46,SaaS,card,0.9086,0.0914,0,1.61
cust_100323,518,Edtech,wallet,0.7644,0.2356,0,30.33
cust_100324,123,Edtech,netbanking,0.7532,0.2468,0,7.25
cust_100325,81,Edtech,card,0.9019,0.0981,0,0.3
cust_100326,45,E-commerce,card,0.953,0.047,0,11.19
cust_100327,421,SaaS,UPI,0.8234,0.1766,1,20.26
cust_100328,24,Gaming,card,0.7368,0.2632,2,6.88
cust_100329,116,Edtech,netbanking,0.8163,0.1837,0,0.31
cust_100330,321,E-commerce,card,0.3697,0.6303,1,25.76
cust_100331,61,Edtech,card,0.9558,0.0442,0,10.72
cust_100332,894,E-commerce,UPI,0.9309,0.0691,1,20.46
cust_100333,184,Financial Services,card,0.7826,0.2174,1,5.18
cust_100334,48,Edtech,card,0.8311,0.1689,1,15.99
cust_100335,69,SaaS,netbanking,0.5833,0.4167,0,7.86
cust_100336,1,Financial Services,UPI,0.9253,0.0747,0,5.04
cust_100337,143,Edtech,UPI,0.2973,0.7027,0,17.71
cust_100338,57,Edtech,UPI,0.8273,0.1727,0,9.25
cust_100339,133,Edtech,card,0.9303,0.0697,0,4.78
cust_100340,239,Edtech,card,0.2169,0.7831,0,15.26
cust_100341,51,SaaS,UPI,0.9641,0.0359,0,8.68
cust_100342,92,Edtech,card,0.762,0.238,1,12.66
cust_100343,374,SaaS,UPI,0.83,0.17,0,0.08
cust_100344,126,Edtech,netbanking,0.7327,0.2673,0,26.18
cust_100345,8,SaaS,netbanking,0.7852,0.2148,0,1.07
cust_100346,80,Financial Services,UPI,0.2174,0.7826,0,18.67
cust_100347,195,Gaming,card,0.3268,0.6732,0,24.42
cust_100348,152,Gaming,UPI,0.9078,0.0922,0,1.3
cust_100349,24,E-commerce,card,0.8834,0.1166,0,7.45
cust_100350,149,Financial Services,UPI,0.9629,0.0371,0,2.96
cust_100351,396,Edtech,UPI,0.2853,0.7147,1,15.44
cust_100352,121,Financial Services,wallet,0.7661,0.2339,0,17.1
cust_100353,259,Edtech,UPI,0.4428,0.5572,0,24.44
cust_100354,64,Gaming,netbanking,0.8806,0.1194,1,2.7
cust_100355,182,SaaS,UPI,0.7531,0.2469,1,11.01
cust_100356,13,SaaS,card,0.9308,0.0692,0,8.83
cust_100357,23,SaaS,card,0.8797,0.1203,1,1.01
cust_100358,3,Gaming,card,0.7142,0.2858,0,7.91
cust_100359,32,Edtech,UPI,0.7353,0.2647,0,6.87
cust_100360,529,Gaming,UPI,0.9323,0.0677,1,5.59
cust_100361,152,Gaming,card,0.7605,0.2395,1,1.1
cust_100362,155,E-commerce,card,0.7413,0.2587,0,0.83
cust_100363,11,Gaming,netbanking,0.5292,0.4708,0,3.91
cust_100364,31,E-commerce,UPI,0.8513,0.1487,0,7.32
cust_100365,9,E-commerce,netbanking,0.5332,0.4668,0,7.77
cust_100366,255,E-commerce,card,0.495,0.505,0,18.92
cust_100367,49,E-commerce,card,0.7044,0.2956,1,8.16
cust_100368,158,Edtech,UPI,0.4709,0.5291,0,23.26
cust_100369,380,Gaming,UPI,0.1318,0.8682,1,22.67
cust_100370,13,Financial Services,UPI,0.8437,0.1563,1,10.93
cust_100371,191,SaaS,netbanking,0.762,0.238,0,5.1
cust_100372,20,Gaming,wallet,0.4916,0.5084,1,33.45
cust_100373,89,Gaming,card,0.8801,0.1199,0,14.08
cust_100374,17,SaaS,netbanking,0.3395,0.6605,1,15.37
cust_100375,44,Financial Services,UPI,0.7302,0.2698,0,0.92
cust_100376,332,Financial Services,card,0.1404,0.8596,0,20.06
cust_100377,72,Gaming,card,0.1631,0.8369,0,40.18
cust_100378,83,Gaming,wallet,0.8535,0.1465,1,26.68
cust_100379,15,Edtech,netbanking,0.8673,0.1327,0,21.04
cust_100380,244,Edtech,netbanking,0.8695,0.1305,1,0.84
cust_100381,62,SaaS,UPI,0.732,0.268,1,37.14
cust_100382,123,Gaming,netbanking,0.7602,0.2398,0,19.81
cust_100383,308,Financial Services,UPI,0.8159,0.1841,0,14.47
cust_100384,24,Financial Services,card,0.9043,0.0957,0,1.58
cust_100385,55,Edtech,UPI,0.8862,0.1138,0,1.45
cust_100386,396,Edtech,card,0.8923,0.1077,1,3.74
cust_100387,85,Financial Services,UPI,0.5159,0.4841,0,10.24
cust_100388,30,SaaS,card,0.9085,0.0915,0,1.65
cust_100389,8,Edtech,card,0.8558,0.1442,0,0.6
cust_100390,633,Gaming,UPI,0.8573,0.1427,2,1.53
cust_100391,16,SaaS,UPI,0.9446,0.0554,0,11.78
cust_100392,8,Financial Services,card,0.9019,0.0981,2,3.66
cust_100393,118,Edtech,card,0.7985,0.2015,0,1.4
cust_100394,262,Gaming,UPI,0.7433,0.2567,0,4.58
cust_100395,65,Financial Services,netbanking,0.7303,0.2697,1,0.11
cust_100396,65,Gaming,UPI,0.9135,0.0865,0,3.01
cust_100397,172,Gaming,UPI,0.8202,0.1798,0,2.42
cust_100398,2,Gaming,UPI,0.9292,0.0708,3,1.16
cust_100399,96,Gaming,UPI,0.8559,0.1441,1,6.7
cust_100400,20,Gaming,UPI,0.9322,0.0678,1,4.71
cust_100401,61,Edtech,UPI,0.2366,0.7634,2,30.46
cust_100402,46,Edtech,card,0.7983,0.2017,0,2.94
cust_100403,221,E-commerce,UPI,0.8586,0.1414,1,10.14
cust_100404,130,Financial Services,netbanking,0.4705,0.5295,0,24.52
cust_100405,9,SaaS,card,0.3652,0.6348,0,28.37
cust_100406,87,Financial Services,card,0.7955,0.2045,0,0.89
cust_100407,152,Edtech,UPI,0.7908,0.2092,0,0.12
cust_100408,377,Gaming,card,0.9473,0.0527,0,3.52
cust_100409,52,E-commerce,card,0.873,0.127,0,2.05
cust_100410,23,SaaS,UPI,0.8853,0.1147,0,14.46
cust_100411,37,Financial Services,UPI,0.816,0.184,0,34.38
cust_100412,43,E-commerce,card,0.7319,0.2681,0,4.81
cust_100413,28,Financial Services,UPI,0.4391,0.5609,0,29.9
cust_100414,124,Gaming,card,0.8868,0.1132,0,34.57
cust_100415,193,SaaS,UPI,0.9756,0.0244,1,8.73
cust_100416,166,SaaS,netbanking,0.2507,0.7493,0,16.37
cust_100417,50,E-commerce,netbanking,0.914,0.086,0,4.65
cust_100418,68,Edtech,UPI,0.7022,0.2978,0,28.66
cust_100419,34,Financial Services,UPI,0.8065,0.1935,0,21.8
cust_100420,125,E-commerce,UPI,0.9333,0.0667,2,25.12
cust_100421,35,Edtech,card,0.5309,0.4691,0,18.45
cust_100422,157,SaaS,card,0.8287,0.1713,0,1.95
cust_100423,95,SaaS,wallet,0.8612,0.1388,1,1.8
cust_100424,17,Gaming,card,0.8792,0.1208,1,7.05
